,asymmetric 0.5,,asymmetric 1.0,,asymmetric 2.0,,symmetric 0.5,,symmetric 1.0,,symmetric 2.0,
,Original Trees,Noise-reduced Trees,Original Trees,Noise-reduced Trees,Original Trees,Noise-reduced Trees,Original Trees,Noise-reduced Trees,Original Trees,Noise-reduced Trees,Original Trees,Noise-reduced Trees
1,24,24,20,22,14,18,12,12,18,20,22,14
2,20,18,24,18,24,22,20,20,20,22,18,22
3,18,24,22,18,24,18,16,22,20,16,16,14
4,20,18,20,18,20,24,14,18,22,22,14,26
5,16,8,22,18,18,22,18,24,24,26,14,24
6,24,24,18,26,24,24,16,18,20,20,20,22
7,20,20,22,20,14,22,18,18,14,20,22,16
8,26,26,16,16,16,12,22,22,18,18,20,20
9,16,12,22,22,24,26,18,22,20,24,18,18
10,16,12,18,14,18,16,18,22,20,20,22,22
11,24,22,16,26,20,10,10,16,24,20,24,24
12,18,18,26,26,26,24,20,22,20,24,22,20
13,26,24,24,24,22,24,22,20,18,18,22,22
14,16,18,20,20,26,26,20,20,18,20,12,16
15,10,14,18,18,24,26,24,22,14,20,10,18
16,26,26,12,24,26,22,12,10,4,14,20,24
17,20,22,20,20,18,20,24,24,18,22,20,18
18,10,16,14,16,20,16,18,16,10,22,20,20
19,22,20,18,22,22,20,22,22,14,24,22,24
20,20,18,12,12,18,22,20,18,22,14,22,20
21,24,22,26,26,26,26,16,22,14,20,12,24
22,20,20,16,22,26,26,22,12,22,24,18,14
23,16,18,24,26,26,26,20,18,12,12,20,18
24,6,8,24,22,14,24,16,16,20,20,12,16
25,26,26,18,18,24,24,22,20,16,20,18,24
26,14,14,16,16,18,20,16,16,14,16,18,20
27,14,14,24,24,20,24,16,18,16,20,18,18
28,26,26,16,14,22,22,18,12,18,14,22,26
29,16,18,22,16,20,16,20,20,18,18,22,20
30,18,14,24,24,18,24,20,18,20,22,20,24
31,18,18,26,24,22,20,8,6,20,22,22,24
32,20,20,22,22,16,20,16,20,20,26,22,24
33,22,22,24,20,18,24,18,18,12,14,22,22
34,6,10,18,26,20,26,18,18,20,18,20,24
35,20,22,18,22,12,18,16,16,14,12,18,22
36,14,16,20,22,26,26,16,22,20,18,22,26
37,20,18,18,20,22,22,14,16,20,22,22,20
38,26,26,16,18,24,24,20,18,10,8,20,24
39,16,16,24,26,22,26,10,8,24,24,16,20
40,20,20,26,16,24,24,20,18,18,12,22,24
41,22,20,22,24,26,20,14,16,14,18,18,24
42,24,24,20,26,22,18,14,18,16,20,18,20
43,20,24,24,24,24,24,14,12,22,16,14,20
44,20,20,16,22,18,18,22,22,20,22,26,26
45,18,16,24,26,22,16,16,4,20,20,14,18
46,20,22,20,20,20,22,18,20,14,16,16,20
47,20,20,20,24,26,26,14,16,16,16,24,24
48,16,18,20,22,22,26,16,20,18,22,16,12
49,20,20,16,14,20,20,18,18,18,14,20,24
50,20,26,18,26,20,26,22,20,22,18,24,24
51,16,14,24,26,18,26,16,16,18,10,18,18
52,16,20,20,22,20,20,22,24,16,20,22,22
53,20,20,10,14,24,26,12,16,22,24,16,16
54,14,16,26,22,16,12,10,10,22,24,14,20
55,22,24,18,18,24,22,22,24,24,22,24,26
56,26,26,18,18,24,24,14,16,18,22,24,22
57,20,20,12,12,24,22,24,22,22,18,18,20
58,22,24,26,26,22,24,18,24,16,18,20,20
59,18,18,14,20,22,16,16,16,12,16,14,20
60,18,16,26,26,22,26,16,18,16,12,26,26
61,20,18,16,18,16,14,16,20,20,16,18,22
62,18,18,22,16,22,24,16,20,6,8,14,12
63,24,22,24,24,26,22,16,10,16,22,16,22
64,18,22,20,20,20,24,18,20,18,20,18,14
65,26,26,26,26,22,24,12,14,16,16,24,20
66,16,22,22,20,18,20,18,18,14,16,24,22
67,24,20,24,22,22,20,12,12,16,16,24,26
68,24,24,22,26,24,22,14,14,18,22,20,22
69,22,20,20,20,18,20,10,16,22,24,20,24
70,18,20,20,14,20,24,6,18,12,22,14,22
71,12,18,26,26,20,26,14,18,10,18,20,26
72,24,24,20,10,20,20,20,20,10,14,20,20
73,16,16,26,26,16,22,22,18,18,18,22,22
74,26,22,22,24,24,20,16,20,20,24,20,24
75,20,22,26,26,22,22,22,20,16,18,14,22
76,22,26,20,18,16,22,20,18,22,16,18,14
77,12,14,24,24,20,16,20,12,22,22,22,22
78,22,26,16,16,24,22,18,18,18,22,20,18
79,12,12,22,18,24,22,18,18,22,24,20,18
80,20,18,22,20,26,26,22,16,22,20,22,24
81,22,20,20,18,24,24,18,22,18,18,26,26
82,18,20,22,18,26,26,16,20,22,22,22,22
83,16,14,18,26,26,22,18,22,14,22,20,22
84,22,22,24,24,18,10,20,14,20,16,18,20
85,18,12,20,20,24,24,18,20,16,16,20,24
86,24,22,16,22,20,20,14,16,20,16,20,20
87,18,20,26,26,22,26,16,18,18,24,22,22
88,18,18,26,22,22,22,16,16,14,20,18,18
89,20,22,22,20,26,26,18,12,16,16,16,16
90,26,26,20,20,20,20,14,18,18,20,20,24
91,18,18,14,18,26,26,22,20,22,20,24,20
92,20,20,16,18,22,24,14,10,22,22,16,24
93,14,14,22,22,18,24,22,22,20,22,20,22
94,14,8,22,16,22,22,20,22,14,16,16,24
95,18,20,20,20,18,18,18,12,14,4,24,20
96,20,20,16,16,26,18,24,20,20,20,22,22
97,24,20,20,14,26,20,18,20,20,20,24,24
98,16,14,24,22,18,16,18,20,22,24,22,24
99,20,20,26,24,22,26,16,16,18,18,24,26
100,16,18,22,24,26,24,16,12,24,26,20,20
101,22,20,24,26,18,16,16,14,24,22,18,10
102,20,16,20,22,24,22,14,16,18,22,16,18
103,20,16,26,24,18,18,12,18,16,14,24,22
104,20,18,20,24,24,22,12,14,22,22,16,18
105,16,22,22,22,22,24,24,22,24,20,18,22
106,16,24,20,16,24,24,16,14,26,16,22,20
107,24,24,20,20,18,22,22,20,24,24,14,20
108,22,24,18,12,22,24,0,6,14,14,16,24
109,20,22,22,16,24,24,18,6,18,18,22,22
110,14,12,24,16,22,24,20,18,18,18,22,18
111,20,18,26,24,26,22,10,12,18,20,18,22
112,20,24,22,22,26,26,18,16,20,20,20,20
113,22,20,20,24,26,18,20,20,20,18,12,16
114,22,22,18,16,20,16,24,20,22,20,22,22
115,16,18,16,20,20,16,24,22,12,18,16,18
116,20,22,26,24,22,26,18,18,22,22,20,20
117,18,16,22,22,20,22,6,16,18,16,22,22
118,26,26,20,24,26,16,14,16,20,16,24,24
119,16,16,22,24,26,26,18,18,24,22,16,16
120,24,14,24,20,18,22,18,18,18,16,16,26
121,22,22,24,22,26,26,22,24,18,14,24,18
122,20,16,22,22,16,16,20,22,16,10,18,20
123,8,16,18,12,24,22,10,10,20,22,18,22
124,16,18,22,22,26,26,22,22,22,22,18,18
125,20,22,16,16,24,24,26,20,18,18,24,22
126,20,22,22,26,12,18,14,18,20,22,24,22
127,18,14,20,18,22,24,24,22,16,22,20,18
128,22,24,26,24,14,14,18,22,22,24,20,20
129,18,18,22,20,22,24,10,8,12,18,16,20
130,20,20,14,20,22,24,8,8,14,16,20,22
131,24,24,16,18,20,24,20,18,24,20,16,20
132,22,24,18,18,26,24,14,22,14,14,10,20
133,24,26,22,24,18,22,22,24,22,20,22,18
134,26,26,18,24,24,26,20,16,20,20,18,20
135,10,22,22,26,20,20,16,18,20,20,22,22
136,20,20,24,26,20,16,20,20,18,22,22,22
137,16,18,24,22,20,26,16,12,16,20,22,22
138,16,18,20,26,20,24,18,20,20,20,26,24
139,22,22,26,24,16,18,22,22,16,24,24,22
140,18,16,16,16,18,24,20,18,18,22,20,20
141,26,24,24,22,18,24,22,22,22,18,16,18
142,22,22,20,24,26,20,22,18,16,18,20,18
143,22,16,20,18,26,24,24,18,18,20,18,20
144,22,12,16,16,26,26,22,22,14,18,20,22
145,18,20,26,20,26,22,8,14,14,12,22,18
146,14,20,22,16,18,22,16,18,14,18,20,20
147,20,22,18,20,24,26,10,10,18,12,22,20
148,24,24,26,22,26,26,16,14,18,16,24,20
149,22,24,12,12,20,14,14,14,20,20,18,14
150,26,26,20,14,22,26,20,22,12,12,20,20
151,16,16,18,18,14,20,16,14,12,14,22,22
152,26,26,20,22,20,16,16,22,24,22,14,22
153,14,12,20,20,22,22,18,16,18,16,22,20
154,16,12,22,22,20,26,26,18,16,18,22,22
155,26,22,20,22,24,24,24,26,20,18,22,16
156,20,18,26,26,20,22,8,14,20,20,24,24
157,16,22,14,18,14,12,14,12,20,20,24,18
158,20,18,16,20,16,20,18,14,22,24,16,22
159,18,26,14,10,14,18,22,18,22,26,22,16
160,26,24,10,10,22,22,16,20,24,24,24,22
161,18,12,20,24,20,26,16,10,8,14,24,18
162,18,20,14,20,20,20,16,20,20,16,20,20
163,20,22,16,20,20,18,24,18,12,22,14,20
164,24,26,22,24,18,18,16,14,20,24,20,24
165,14,14,20,22,16,22,18,16,20,24,22,24
166,20,26,24,26,18,20,20,18,16,16,24,18
167,18,16,24,16,22,22,24,24,26,20,18,16
168,16,22,22,16,22,22,16,10,22,22,24,24
169,14,14,22,20,18,24,20,20,16,22,24,26
170,14,14,20,26,22,16,16,18,16,16,16,18
171,26,26,22,24,18,22,12,14,18,16,20,24
172,14,14,24,22,16,24,24,24,16,16,18,22
173,14,16,14,12,24,24,8,6,18,22,24,20
174,20,16,18,12,20,26,22,22,22,16,22,22
175,26,20,26,26,10,18,14,14,20,16,16,14
176,22,22,22,24,14,18,20,20,22,24,18,14
177,20,24,18,18,20,22,24,22,14,14,24,24
178,16,18,20,20,24,26,22,22,18,16,18,22
179,16,14,16,24,26,22,20,22,22,22,18,26
180,18,18,10,14,16,14,18,18,18,14,18,20
181,24,26,20,24,24,22,18,16,24,18,18,22
182,18,18,24,18,26,22,18,20,20,22,14,20
183,26,26,18,20,24,26,8,4,20,18,22,18
184,18,24,20,20,22,22,22,24,18,22,20,22
185,14,18,20,16,20,22,14,8,20,18,20,18
186,26,26,22,26,20,22,14,22,24,22,20,20
187,20,22,18,18,20,16,24,22,16,10,24,24
188,8,16,26,26,16,20,20,20,8,12,18,12
189,18,18,20,22,24,26,20,18,18,20,20,16
190,16,16,26,24,22,26,20,20,20,22,12,16
191,24,24,24,24,24,22,20,22,22,16,22,22
192,18,18,24,24,22,20,16,18,20,22,20,16
193,16,16,22,20,16,16,16,18,20,18,18,22
194,26,24,22,24,26,26,18,18,18,24,16,22
195,26,26,20,20,22,22,10,10,10,14,22,24
196,18,14,24,24,26,20,20,20,20,22,20,18
197,24,24,14,16,22,24,20,22,20,22,20,24
198,10,16,18,20,24,20,20,20,18,18,22,18
199,22,24,20,16,24,24,22,24,24,24,18,18
200,20,22,22,22,26,26,18,18,16,16,18,16
201,24,22,24,24,18,14,16,22,16,18,20,16
202,20,20,22,24,20,22,24,22,16,18,22,18
203,24,14,18,24,22,22,10,10,22,24,20,10
204,18,16,24,26,22,24,10,14,8,14,24,26
205,12,12,16,22,26,20,8,10,22,20,22,22
206,26,26,18,16,16,14,12,12,14,14,22,20
207,22,22,24,18,26,26,22,20,12,14,24,20
208,18,14,14,16,26,24,14,20,20,18,22,16
209,26,26,18,22,24,22,18,24,20,16,20,16
210,16,14,16,22,20,26,14,10,26,26,20,20
211,12,16,22,22,26,20,12,14,16,20,14,14
212,20,18,22,22,20,22,14,14,22,20,20,24
213,16,16,20,22,24,18,16,14,20,20,18,18
214,24,24,18,22,22,24,20,22,18,22,20,24
215,20,20,16,22,26,26,18,18,14,20,14,10
216,18,20,14,18,24,26,22,24,18,18,22,22
217,16,16,22,24,16,20,16,16,16,16,24,26
218,26,22,18,16,22,20,10,12,18,14,18,22
219,20,14,18,20,16,20,16,12,18,12,18,16
220,18,16,16,22,18,22,22,22,22,18,16,18
221,18,18,24,22,26,22,18,22,20,22,22,22
222,12,14,22,24,22,22,16,20,22,18,14,18
223,20,20,20,24,14,22,18,24,20,12,24,22
224,20,22,22,22,24,20,16,14,24,24,18,22
225,24,24,24,18,14,24,16,14,20,20,22,26
226,24,20,24,18,18,20,16,22,22,22,16,20
227,14,18,22,24,22,22,20,18,24,22,20,22
228,16,12,20,22,24,26,16,18,14,24,14,20
229,18,22,20,20,26,26,14,14,12,18,22,22
230,24,24,22,24,22,22,14,22,12,16,18,22
231,16,16,20,22,16,18,16,18,12,8,22,24
232,24,22,18,24,26,26,16,18,20,18,20,16
233,10,14,18,20,26,26,16,14,14,10,22,20
234,24,22,26,22,24,24,20,20,16,14,22,24
235,22,20,16,14,16,22,20,20,16,14,20,24
236,20,20,18,16,16,20,18,18,18,20,18,14
237,12,14,18,20,20,24,22,18,24,22,22,20
238,22,16,22,18,18,22,24,22,22,22,24,26
239,18,24,16,18,26,24,16,22,14,18,18,20
240,16,18,18,20,26,24,24,22,20,18,16,20
241,20,20,24,20,18,22,20,12,16,14,22,22
242,26,22,16,18,24,26,18,10,22,14,20,22
243,26,24,20,20,20,20,24,20,16,16,20,20
244,20,20,24,24,16,16,20,22,24,24,26,24
245,26,22,20,20,20,22,18,16,16,16,24,24
246,24,18,24,20,18,14,22,22,18,22,20,16
247,22,20,18,22,22,24,14,14,20,20,20,16
248,16,16,18,20,20,20,18,18,20,20,26,24
249,20,24,20,24,22,24,18,20,18,18,20,16
250,14,18,26,20,20,26,22,24,18,20,22,22
251,16,16,22,24,22,24,24,22,22,18,26,26
252,22,22,14,16,20,18,18,16,14,12,24,24
253,26,26,20,22,14,22,14,20,12,10,22,24
254,22,22,22,18,26,26,16,18,22,22,16,20
255,18,20,26,26,22,22,14,18,18,18,18,16
256,26,22,14,18,24,20,22,20,18,18,20,22
257,22,22,22,18,24,24,20,24,24,24,24,22
258,8,10,18,18,14,18,16,16,22,20,12,22
259,18,24,22,22,20,18,24,22,24,22,20,20
260,20,24,22,22,14,22,14,14,18,22,24,26
261,18,20,20,20,22,18,16,18,18,22,24,22
262,24,22,16,18,20,20,20,18,14,14,22,22
263,16,20,16,18,20,22,18,20,16,20,16,20
264,20,20,20,22,26,24,22,26,18,14,20,20
265,22,22,20,22,26,18,18,16,22,22,22,24
266,20,14,22,20,20,22,16,16,24,16,18,24
267,20,26,22,20,26,24,14,20,16,20,16,20
268,20,24,20,24,20,18,16,18,18,18,18,14
269,20,14,16,24,16,14,16,16,22,18,20,22
270,20,22,18,22,22,26,18,20,20,18,24,20
271,20,20,20,22,24,26,18,16,22,20,24,24
272,24,26,24,20,26,26,20,16,18,24,20,18
273,18,18,24,26,22,24,16,20,22,24,20,20
274,18,16,16,18,26,26,24,22,22,24,24,24
275,18,18,20,20,18,22,22,18,20,24,16,18
276,18,18,24,22,22,22,22,20,18,16,22,18
277,26,26,18,16,20,26,26,24,18,10,26,24
278,16,22,18,22,20,20,18,20,18,22,16,26
279,22,24,22,22,22,24,20,26,10,12,18,24
280,18,18,10,8,24,24,18,16,6,18,18,20
281,18,18,22,26,26,26,22,20,18,12,20,22
282,26,24,24,20,26,24,12,20,16,18,22,24
283,22,24,16,16,22,22,18,20,14,20,18,20
284,24,22,18,22,26,24,14,14,14,14,14,20
285,16,16,16,20,24,20,20,20,22,22,18,26
286,22,18,24,26,16,20,20,26,14,14,18,14
287,16,16,14,14,12,10,18,16,20,18,22,18
288,26,26,20,22,22,22,18,16,16,18,20,20
289,16,12,16,20,20,20,10,6,22,22,22,22
290,22,20,16,12,26,24,22,22,24,22,20,24
291,10,16,22,22,24,20,10,12,16,20,22,18
292,14,24,24,22,18,22,24,22,14,16,18,20
293,26,18,16,12,22,20,22,22,18,16,24,22
294,22,22,16,16,26,26,24,24,18,18,22,22
295,14,18,22,22,24,20,14,14,22,18,20,20
296,16,16,24,18,20,14,18,16,22,18,14,22
297,22,22,16,18,12,14,16,14,20,22,22,18
298,20,22,16,16,18,26,14,18,18,18,16,22
299,20,18,26,24,24,26,18,22,18,22,22,26
300,16,20,26,26,16,16,20,14,16,18,18,22